#These are the dates and barometric pressures for the PERAs involving KCl, taken from archived weather data from www.wunderground.com/history

date_test	year	avg_daily_pressure	pressure_6am	pressure_9am	
6.60	2012	30.06	30.06	30.09
6.70	2012	30.08	30.09	30.11
6.13	2012	30.20	30.23	30.24
6.14	2012	30.18	30.21	30.24
6.21	2012	29.90	29.89	29.86
6.27	2012	29.93	29.96	30.00
6.28	2012	29.76	29.78	29.78
7.50	2012	29.90	29.87	29.90
7.60	2012	29.94	29.96	29.97
7.11	2012	30.16	30.16	30.19
7.12	2012	30.13	30.14	30.16
7.13	2012	30.10	30.12	30.12
8.03	2012	29.91	29.90	29.92
11.13	2012	30.45	30.39	30.46
10.90	2012	29.97	30.05	30.05
10.16	2012	29.89	29.99	30.00
10.19	2012	29.57	29.58	29.56
10.23	2012	29.95	29.90	29.93
10.26	2012	30.14	30.10	30.20
10.31	2012	29.64	29.61	29.63
11.12	2012	30.00	29.90	29.98
11.30	2012	30.21	30.20	30.22
12.40	2012	29.98	29.92	30.00
12.50	2012	30.35	30.35	30.41
12.70	2012	29.94	29.94	29.96
12.11	2012	30.01	29.99	30.01
12.18	2012	29.74	29.71	29.78
12.19	2012	29.94	29.90	30.00
12.20	2012	29.48	29.85	29.60
12.21	2012	29.46	29.30	29.41
12.22	2012	30.05	30.06	30.11
12.23	2012	29.99	29.90	29.96
1.30	2013	30.12	30.09	30.10
1.12	2013	29.87	29.80	29.87
1.19	2013	29.80	29.90	29.91
1.20	2013	30.07	29.92	30.11
1.21	2013	30.03	30.00	29.99
2.24	2013	30.02	29.98	30.00
3.20	2013	30.13	30.13	30.14
3.30	2013	30.08	30.09	30.10
3.15	2013	29.91	29.96	29.95
3.19	2013	29.77	29.70	29.71
3.23	2013	30.10	30.07	30.10
4.50	2013	30.13	30.08	30.17
4.13	2013	29.85	29.80	29.80
5.25	2013	30.36	30.40	30.42
5.27	2013	30.14	30.22	30.23
5.28	2013	29.88	29.93	29.91
6.2	2013	29.82	29.67	29.74
6.3	2013	30.07	30.07	30.10
6.17	2013	29.90	29.92	29.93
6.18	2013	30.01	29.97	30.03
6.25	2013	29.92	29.93	29.98
7.7	2013	30.02	30.01	30.04
7.9	2013	29.96	29.98	30.00



