#NaCl PERA dates and mean sea-level pressure readings from Lansing, MI.  Archived at http://www.wunderground.com/history/airport/KLAN/

#pressures for 6am and 9am are estimated from a graph.

date_test	year	avg_daily_pressure	pressure_6am	pressure_9am
3.21	2012	30.13	30.15	30.17
3.22	2012	30.11	30.12	30.14
3.28	2012	29.81	29.69	29.71
3.29	2012	30.12	30.09	30.14
4.4	2012	29.95	29.97	29.99
4.5	2012	30.08	30.01	30.10
4.6	2012	30.28	30.25	30.32
4.7	2012	30.26	30.30	30.35
5.16	2012	30.03	29.99	30.06
5.23	2012	29.92	29.95	29.97
5.31	2012	29.98	30.00	30.03
6.06	2012	30.06	30.07	30.10	
6.13	2012	30.20	30.23	30.25
6.2	2012	30.00	30.03	30.07
6.21	2012	29.90	29.89	29.86
6.25	2012	30.05	30.03	30.09
6.27	2012	29.93	29.96	30.00
7.2	2012	30.06	30.04	30.07
7.25	2012	29.83	29.95	29.95
7.27	2012	29.83	29.80	29.82
7.3	2012	29.96	30.00	30.01
7.31	2012	29.89	28.85	28.89
8.01	2012	29.94	29.96	29.96
6.29	2012	29.83	29.83	29.87
7.04	2012	29.84	29.85	29.85
7.05	2012	29.90	29.87	29.90
7.06	2012	29.94	29.96	29.97
7.11	2012	30.16	30.16	30.19
7.17	2012	29.82	29.83	29.83
7.18	2012	29.93	29.93	29.96
7.19	2012	29.95	29.91	29.96
7.26	2012	29.67	29.68	29.63
7.13	2012	30.10	30.12	30.12
6.28	2012	29.76	29.77	29.77
7.02	2012	29.97	29.99	30.01
7.12	2012	30.13	30.14	30.16
8.02	2012	29.88	29.86	29.90
8.02a	2012	29.88	29.86	29.90
8.02b	2012	29.88	29.86	29.90
8.03	2012	29.91	29.90	29.92
8.07	2012	29.96	29.98	29.99
