date_test	Background	Allele	Sex	Fly	receptor	h2o1	sugar1	salt1	h2o2	sugar2	salt2	h2o3	Sugar_before_salt	PERA_group	used_wt_2x	salt_conc	salt_type
3.21	SAM	sde3	f	1	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	2	prob	0	0	1	0	0	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	3	prob	0	0	1	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	4	prob	0	0	1	0	0	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	5	prob	0	0	1	0	0	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	6	prob	0	0	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	7	prob	0	1	1	0	0	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	8	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	9	prob	0	0	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	f	10	prob	0	0	1	1	0	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	1	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	2	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	3	prob	0	1	1	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	4	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	5	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	6	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	7	prob	0	0	0	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	8	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	9	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	sde3	m	10	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	1	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	2	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	3	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	4	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	5	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	6	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	7	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	8	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	9	prob	0	0	0	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	f	10	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	1	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	2	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	3	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	4	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	5	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	6	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	7	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	8	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	9	prob	0	0	0	0	0	0	NA	y	e3	n	100	NaCl
3.21	SAM	wt	m	10	prob	0	0	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	1	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	2	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	3	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	4	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	5	prob	0	1	0	0	0	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	6	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	7	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	8	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	9	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	f	10	prob	0	1	0	0	0	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	1	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	2	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	3	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	4	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	5	prob	0	1	1	1	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	6	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	7	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	8	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	9	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	sde3	m	10	prob	0	1	1	1	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	f	1	prob	0	1	0	0	0	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	f	2	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	f	3	prob	0	1	1	1	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	f	4	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	f	5	prob	0	1	0	0	0	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	1	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	2	prob	0	1	0	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	3	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	4	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	5	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	6	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	7	prob	0	1	1	0	1	0	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	8	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	9	prob	0	1	1	0	1	1	NA	y	e3	n	100	NaCl
3.22	ORE	wt	m	10	prob	0	1	0	0	1	0	NA	y	e3	n	100	NaCl
3.28	SAM	sde3	f	1	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	2	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	3	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	4	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	5	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	6	prob	0	1	0	0	1	1	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	7	prob	0	1	0	1	1	1	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	8	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	9	prob	0	0	0	0	1	0	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	f	10	prob	0	0	1	0	1	1	NA	n	e3	n	100	NaCl
3.28	SAM	sde3	m	1	prob	0	0	0	0	0	0	NA	n	e3	n	100	NaCl
