background	allele	tot_flies	dead_at_flip	dead_fell_in	Total_dead	adjusted_dead	hours_starved	date	Rep
sam	wt	30	0	0	0	0	40	NA	NA
sam	sde3	27	2	2	3	1	40	NA	NA
sam	sdetx4	17	1	1	2	1	40	NA	NA
sam	sd1	18	1	0	0	0	40	NA	NA
ore	wt	30	3	2	4	2	40	NA	NA
ore	sde3	26	11	2	8	6	40	NA	NA
ore	sdetx4	18	3	0	0	0	40	NA	NA
ore	sd1	30	9	5	5	0	40	NA	NA
sam	wt	30	1	1	1	0	24	9.4	1
sam	sde3	30	6	0	0	0	24	9.4	1
sam	sdetx4	21	3	0	1	1	24	9.4	1
sam	sd1	30	2	0	0	0	24	9.4	1
ore	wt	30	0	0	1	1	24	9.4	1
ore	sde3	14	7	0	0	0	24	9.4	1
ore	sdetx4	14	3	0	0	0	24	9.4	1
ore	sd1	18	3	0	0	0	24	9.4	1
sam	wt	30	0	0	0	0	2	9.5	1
sam	sde3	30	3	0	0	0	2	9.5	1
sam	sdetx4	28	1	0	0	0	2	9.5	1
sam	sd1	23	0	0	0	0	2	9.5	1
ore	wt	29	7	0	0	0	2	9.5	1
ore	sde3	9	1	0	0	0	2	9.5	1
ore	sdetx4	14	6	0	0	0	2	9.5	1
ore	sd1	24	1	0	0	0	2	9.5	1
sam	wt	30	1	0	0	0	40	9.9	1
sam	sde3	30	3	0	2	2	40	9.9	1
sam	sdetx4	30	2	0	1	1	40	9.9	1
sam	sd1	15	1	1	1	0	40	9.9	1
ore	wt	30	1	0	0	0	40	9.9	1
ore	sde3	7	3	0	0	0	40	9.9	1
ore	sdetx4	14	2	0	2	2	40	9.9	1
ore	sd1	27	6	0	1	1	40	9.9	1
sam	wt	30	0	0	0	0	24	9.11	2
sam	sde3	24	3	0	1	1	24	9.11	2
sam	sdetx4	30	1	0	2	2	24	9.11	2
sam	sd1	22	1	0	0	0	24	9.11	2
ore	wt	30	0	0	0	0	24	9.11	2
ore	sde3	7	2	0	1	1	24	9.11	2
ore	sdetx4	30	2	0	0	0	24	9.11	2
ore	sd1	21	4	1	2	1	24	9.11	2
sam	wt	30	0	0	0	0	2	9.14	2
sam	sde3	30	6	1	1	0	2	9.14	2
sam	sdetx4	30	5	2	2	0	2	9.14	2
sam	sd1	30	4	2	2	0	2	9.14	2
ore	wt	19	2	1	1	0	2	9.14	2
ore	sde3	18	14	0	0	0	2	9.14	2
ore	sdetx4	30	6	1	1	0	2	9.14	2
ore	sd1	27	1	0	0	0	2	9.14	2
sam	wt	30	1	0	1	1	40	9.14	2
sam	sde3	30	3	0	4	4	40	9.14	2
sam	sdetx4	30	2	0	0	0	40	9.14	2
sam	sd1	29	1	0	0	0	40	9.14	2
ore	wt	30	3	0	1	1	40	9.14	2
ore	sde3	20	5	0	5	5	40	9.14	2
ore	sdetx4	30	5	0	1	1	40	9.14	2
ore	sd1	23	0	0	0	0	40	9.14	2
sam	wt	30	0	0	2	2	24	9.17	3
sam	sde3	30	2	1	2	1	24	9.17	3
sam	sdetx4	30	3	1	2	1	24	9.17	3
sam	sd1	30	2	1	1	0	24	9.17	3
ore	wt	29	4	0	0	0	24	9.17	3
ore	sde3	7	5	0	1	1	24	9.17	3
ore	sdetx4	24	4	2	3	1	24	9.17	3
ore	sd1	30	6	1	4	3	24	9.17	3
sam	wt	30	2	0	0	0	2	9.21	3
sam	sde3	30	1	1	1	0	2	9.21	3
sam	sdetx4	30	5	0	0	0	2	9.21	3
sam	sd1	30	5	0	1	1	2	9.21	3
ore	wt	30	0	0	0	0	2	9.21	3
ore	sde3	14	8	0	0	0	2	9.21	3
ore	sdetx4	19	7	0	0	0	2	9.21	3
ore	sd1	30	6	0	0	0	2	9.21	3
sam	wt	25	1	1	1	0	40	9.19	3
sam	sde3	30	0	0	0	0	40	9.19	3
sam	sdetx4	14	2	2	2	0	40	9.19	3
sam	sd1	21	2	0	0	0	40	9.19	3
ore	wt	24	0	2	2	0	40	9.19	3
ore	sde3	7	3	0	2	2	40	9.19	3
ore	sdetx4	11	2	1	2	1	40	9.19	3
ore	sd1	20	2	0	1	1	40	9.19	3

