Date	Geno	Sex	Fly_num	h201	SOR	suc_1	SOR	KCl_1	SOR	h20_2	SOR	suc_2	SOR	KCl_2	SOR	h20_3	SOR	Sucrose_before_salt	Wetted_Flug
26-Nov	samsde3	f	1	0	0	0	0	0	0	0	0	1	S	1	S	1	S	y	y
26-Nov	samsde3	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samsde3	f	3	0	0	1	w	1	S	1	w	1	S	1	S	0	0	y	y
26-Nov	samsde3	f	4	0	0	0	0	0	0	0	0	0	0	0	0	1	w	y	y
26-Nov	samsde3	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	samsde3	f	2	0	0	1	S	1	S	0	0	0	0	0	0	0	0	y	n
26-Nov	samsde3	f	3	0	0	0	0	0	0	0	0	1	w	1	w	0	0	y	n
26-Nov	samsde3	f	4	0	0	0	0	1	w	0	0	0	0	1	w	0	0	y	n
26-Nov	samwt	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samwt	f	2	0	0	0	0	1	S	0	0	1	S	1	S	0	0	y	y
26-Nov	samwt	f	3	0	0	0	0	0	0	0	0	1	S	0	0	0	0	y	y
26-Nov	samwt	f	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samwt	f	1	0	0	1	w	1	w	1	S	1	S	1	S	1	S	y	n
26-Nov	samwt	f	2	1	S	1	S	1	S	1	S	1	S	1	S	1	S	y	n
26-Nov	samwt	f	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	samwt	f	4	0	0	1	S	1	S	0	0	0	0	0	0	0	0	y	n
26-Nov	oresde3	m	1	0	0	1	S	0	0	0	0	1	S	0	0	0	0	y	y
26-Nov	oresde3	m	2	0	0	1	S	0	0	0	0	1	S	0	0	0	0	y	y
26-Nov	oresde3	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	oresde3	m	1	0	0	1	S	0	0	0	0	1	S	1	S	0	0	y	n
26-Nov	oresde3	m	2	0	0	1	S	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	oresde3	m	3	0	0	0	0	0	0	0	0	1	S	0	0	0	0	y	n
26-Nov	oresde3	m	4	0	0	1	S	1	S	0	0	1	S	1	S	0	0	y	n
26-Nov	oresde3	f	1	0	0	0	0	0	0	0	0	0	0	1	S	0	0	y	y
26-Nov	oresde3	f	2	0	0	0	0	0	0	0	0	1	S	0	0	0	0	y	y
26-Nov	oresde3	f	1	1	S	1	S	1	S	1	S	1	S	0	0	1	S	y	n
26-Nov	oresde3	f	2	1	S	1	S	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	oresde3	f	3	0	0	1	S	1	S	0	0	0	0	0	0	0	0	y	n
26-Nov	oresde3	f	4	1	S	1	S	1	S	1	S	1	S	1	S	1	S	y	n
26-Nov	samwt	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samwt	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samwt	m	3	0	0	0	0	0	0	0	0	1	S	0	0	0	0	y	y
26-Nov	samwt	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	samwt	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	samwt	m	2	0	0	0	0	0	0	0	0	0	0	1	S	0	0	y	n
26-Nov	samwt	m	3	0	0	1	w	0	0	1	S	1	w	1	w	0	0	y	n
26-Nov	samwt	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	orewt	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
