"date_test" "Background" "Allele" "Sex" "Fly" "receptor" "Sugar_before_salt" "PERA_group" "used_wt_2x" "salt_conc" "salt_type" "subject" "time" "PER" "tastant"
"sde3_ore_f_6.13_y_1_100_prob.1" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 1 0 "H2O"
"sde3_ore_f_6.13_y_1_100_prob.2" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 2 1 "Sugar"
"sde3_ore_f_6.13_y_1_100_prob.3" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 3 0 "Salt"
"sde3_ore_f_6.13_y_1_100_prob.4" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 4 0 "H2O"
"sde3_ore_f_6.13_y_1_100_prob.5" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 5 0 "Sugar"
"sde3_ore_f_6.13_y_1_100_prob.6" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 6 0 "Salt"
"sde3_ore_f_6.13_y_1_100_prob.7" 6.13 "ore" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_ore_f_6.13_y_1_100_prob" 7 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.1" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 1 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.2" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 2 0 "Sugar"
"wt_ore_f_6.13_y_1_100_prob.3" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 3 0 "Salt"
"wt_ore_f_6.13_y_1_100_prob.4" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 4 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.5" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 5 1 "Sugar"
"wt_ore_f_6.13_y_1_100_prob.6" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 6 0 "Salt"
"wt_ore_f_6.13_y_1_100_prob.7" 6.13 "ore" "wt" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "wt_ore_f_6.13_y_1_100_prob" 7 0 "H2O"
"sde3_sam_f_6.13_y_1_100_prob.1" 6.13 "sam" "sde3" "f" 1 "prob" "y" "sde3" "n" 100 "KCl" "sde3_sam_f_6.13_y_1_100_prob" 1 0 "H2O"
